Product,Number of results in Yarrowia Database,groups,Number of results,%,product,species,titer,titer log(10),titer ln,titer log2
,,,,4.66,Succinate,yarrowia,7.5,0.875061263,2.014903021,2.90689059560852
,,,,18.08,Succinate,yarrowia,10.3,1.012837225,2.332143895,3.36457243229586
,,,,57.33,Succinate,yarrowia,6,0.77815125,1.791759469,2.58496250072116
,,,,40.1,Succinate,yarrowia,7,0.84509804,1.945910149,2.8073549220576
,,,,14.1,Succinate,yarrowia,15.1,1.178976947,2.714694744,3.91647664443772
,,,,0.22,Succinate,yarrowia,20,1.301029996,2.995732274,4.32192809488736
,,,,0.56,Succinate,yarrowia,27.5,1.439332694,3.314186005,4.78135971352466
,,,,0.73,Succinate,yarrowia,42.9,1.632457292,3.758871826,5.42290574261218
,,,,0.0709,Succinate,yarrowia,160.2,2.204662512,5.076423035,7.32373033752135
,,,,0.7367,Succinate,yarrowia,5,0.698970004,1.609437912,2.32192809488736
,,,,0.0763,Succinate,yarrowia,15.4,1.187520721,2.734367509,3.94485844580754
,,,,0.6105,Succinate,yarrowia,23,1.361727836,3.135494216,4.52356195605701
,,,,0.0803,Succinate,yarrowia,21,1.322219295,3.044522438,4.39231742277876
,,,,0.4488,Succinate,yarrowia,19.5,1.290034611,2.970414466,4.28540221886225
,,,,0.0925,Succinate,yarrowia,5,0.698970004,1.609437912,2.32192809488736
,,,,0.5345,Succinate,yarrowia,0.4,-0.397940009,-0.916290732,-1.32192809488736
,,,,0.1061,Succinate,yarrowia,2,0.301029996,0.693147181,1
,,,,0.5215,Succinate,yarrowia,4,0.602059991,1.386294361,2
,,,,0.213,Succinate,yarrowia,25.1,1.399673721,3.222867846,4.64961545906341
,,,,0.6377,Succinate,yarrowia,2,0.301029996,0.693147181,1
,,,,0.0746,Succinate,yarrowia,9.2,0.963787827,2.219203484,3.20163386116965
,,,,0.2572,Succinate,yarrowia,2.8,0.447158031,1.029619417,1.48542682717024
,,,,0.5773,Succinate,yarrowia,5.7,0.755874856,1.740466175,2.51096191927738
,,,,0.081,Succinate,yarrowia,6.9,0.838849091,1.931521412,2.78659636189081
,,,,2.6,Succinate,yarrowia,7,0.84509804,1.945910149,2.8073549220576
,,,,10.6,Succinate,yarrowia,7.3,0.86332286,1.987874348,2.86789646399266
,,,,7.3,Succinate,yarrowia,7.5,0.875061263,2.014903021,2.90689059560852
,,,,108.6,Succinate,yarrowia,7.9,0.897627091,2.066862759,2.98185265328974
,,,,0.67,Succinate,yarrowia,8.1,0.908485019,2.091864062,3.01792190799726
,,,,1.28,Succinate,yarrowia,8.5,0.929418926,2.140066163,3.08746284125034
,,,,11.2,Succinate,yarrowia,8.8,0.944482672,2.174751721,3.13750352374994
,,,,23.07,Succinate,yarrowia,9.1,0.959041392,2.208274414,3.18586654531133
,,,,9.15,Succinate,yarrowia,10.8,1.033423755,2.379546134,3.43295940727611
,,,,9.16,Succinate,yarrowia,6.2,0.792391689,1.824549292,2.63226821549951
,,,,8.75,Succinate,yarrowia,8,0.903089987,2.079441542,3
,,,,11.76,Succinate,yarrowia,1.4,0.146128036,0.336472237,0.485426827170242
,,,,10.61,Succinate,yarrowia,5.7,0.755874856,1.740466175,2.51096191927738
,,,,245,Succinate,yarrowia,2.4,0.380211242,0.875468737,1.26303440583379
,,,,38.8,Succinate,yarrowia,9.7,0.986771734,2.272125886,3.27798474729977
,,,,7.2,Succinate,yarrowia,1.5,0.176091259,0.405465108,0.584962500721156
,,,,2,Succinate,yarrowia,4.6,0.662757832,1.526056303,2.20163386116965
,,,,1.7,Succinate,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,1,Succinate,yarrowia,9.9,0.995635195,2.292534757,3.30742852519225
,,,,134.8,Succinate,yarrowia,6.9,0.838849091,1.931521412,2.78659636189081
,,,,0.068,Succinate,yarrowia,10.8,1.033423755,2.379546134,3.43295940727611
,,,,0.209,Succinate,yarrowia,8.9,0.949390007,2.186051277,3.15380533607904
,,,,0.436,Succinate,yarrowia,11.1,1.045322979,2.406945108,3.47248777146274
,,,,0.502,Succinate,yarrowia,5.1,0.707570176,1.62924054,2.35049724708413
,,,,0.563,Succinate,yarrowia,3.3,0.51851394,1.193922468,1.72246602447109
,,,,0.162,Succinate,yarrowia,4.1,0.612783857,1.410986974,2.03562390973072
,,,,0.358,Succinate,yarrowia,5.3,0.72427587,1.667706821,2.40599235967584
,,,,0.409,Succinate,yarrowia,4,0.602059991,1.386294361,2
,,,,3.1,Succinate,yarrowia,4.9,0.69019608,1.589235205,2.29278174922785
,,,,0.91,Succinate,yarrowia,10.9,1.037426498,2.388762789,3.44625622988956
,,,,27.9,Succinate,yarrowia,11.5,1.06069784,2.442347035,3.52356195605701
,,,,1.07,Succinate,yarrowia,10.5,1.021189299,2.351375257,3.39231742277876
,,,,0.68,Succinate,yarrowia,9.9,0.995635195,2.292534757,3.30742852519225
,,,,1.32,Succinate,yarrowia,9.1,0.959041392,2.208274414,3.18586654531133
,,,,2.96,Succinate,yarrowia,8.9,0.949390007,2.186051277,3.15380533607904
,,,,0.86,Succinate,yarrowia,1.6,0.204119983,0.470003629,0.678071905112638
,,,,17.64,Succinate,yarrowia,4,0.602059991,1.386294361,2
,,,,78.6,Succinate,yarrowia,6,0.77815125,1.791759469,2.58496250072116
,,,,25.75,Succinate,yarrowia,10.2,1.008600172,2.32238772,3.35049724708413
,,,,19.99,Succinate,yarrowia,7.5,0.875061263,2.014903021,2.90689059560852
,,,,22.86,Succinate,yarrowia,6.2,0.792391689,1.824549292,2.63226821549951
,,,,22.86,Succinate,yarrowia,4.9,0.69019608,1.589235205,2.29278174922785
,,,,12.99,Succinate,yarrowia,7,0.84509804,1.945910149,2.8073549220576
,,,,18.71,Succinate,yarrowia,11.5,1.06069784,2.442347035,3.52356195605701
,,,,21.44,Succinate,yarrowia,10.12,1.005180513,2.314513664,3.33913738491959
,,,,22.39,Succinate,yarrowia,5.75,0.759667845,1.749199855,2.52356195605701
,,,,20.54,Succinate,yarrowia,4.9,0.69019608,1.589235205,2.29278174922785
,,,,17.18,Succinate,yarrowia,4.7,0.672097858,1.547562509,2.23266075679028
,,,,23.1,Succinate,yarrowia,6.3,0.799340549,1.840549633,2.65535182861255
,,,,16.14,Succinate,yarrowia,7,0.84509804,1.945910149,2.8073549220576
,,,,25.94,Succinate,yarrowia,12.05,1.080987047,2.48906466,3.5909612413426
,,,,23.59,Succinate,yarrowia,30.15,1.479287316,3.406184923,4.91408609701272
,,,,13.83,Succinate,yarrowia,13.99,1.145817714,2.638342789,3.80632405739003
,,,,17.78,Succinate,yarrowia,15.72,1.196452542,2.754933787,3.97452931248388
,,,,19.17,Succinate,yarrowia,26.16,1.41763774,3.264231527,4.70929063572336
,,,,23.72,Succinate,yarrowia,17.03,1.231214648,2.834976495,4.09000652990382
,,,,21.42,Succinate,yarrowia,15.1,1.178976947,2.714694744,3.91647664443772
,,,,13.99,Succinate,yarrowia,18.51,1.267406419,2.918311127,4.21023299009585
,,,,93.5,Succinate,yarrowia,22.54,1.352953912,3.115291509,4.4944156103975
,,,,52.23,Succinate,yarrowia,31.4,1.496929648,3.446807893,4.97269265400427
,,,,81,Succinate,yarrowia,30,1.477121255,3.401197382,4.90689059560852
,,,,38.4,Succinate,yarrowia,27.7,1.442479769,3.321432413,4.79181407116183
,,,,39.4,Succinate,yarrowia,27.2,1.434568904,3.303216973,4.76553474636298
,,,,43.2,Succinate,yarrowia,27.5,1.439332694,3.314186005,4.78135971352466
,,,,53.7,Succinate,yarrowia,24.5,1.389166084,3.198673118,4.61470984411521
,,,,33.2,Succinate,yarrowia,37,1.568201724,3.610917913,5.20945336562895
,,,,39.3,Succinate,yarrowia,32.5,1.511883361,3.481240089,5.02236781302846
,,,,25.34,Succinate,yarrowia,5.4,0.73239376,1.686398954,2.43295940727611
,,,,70.9,Succinate,yarrowia,45.6,1.658964843,3.819907717,5.51096191927738
,,,,70.9,Succinate,yarrowia,67.5,1.829303773,4.212127598,6.07681559705083
,,,,97.4,Succinate,yarrowia,85,1.929418926,4.442651256,6.4093909361377
,,,,93.9,Succinate,yarrowia,110.7,2.044147621,4.70682384,6.79051141189419
,,,,93.9,Succinate,yarrowia,93.3,1.969881644,4.535820108,6.5438051759644
,,,,104.1,Succinate,yarrowia,5.4,0.73239376,1.686398954,2.43295940727611
,,,,3.8,Succinate,yarrowia,65.8,1.818225894,4.186619838,6.04001567884788
,,,,4.7,Succinate,yarrowia,87.8,1.943494516,4.475061501,6.456149034648
,,,,5.4,Succinate,yarrowia,1.9,0.278753601,0.641853886,0.925999418556223
,,,,0.45,Succinate,yarrowia,4.86,0.686636269,1.581038438,2.28095631383106
,,,,0.22,Succinate,yarrowia,21.5,1.33243846,3.068052935,4.4262647547021
,,,,1.13,Succinate,yarrowia,18,1.255272505,2.890371758,4.16992500144231
,,,,0.66,Succinate,yarrowia,30.2,1.480006943,3.407841924,4.91647664443772
,,,,0.45,Succinate,yarrowia,20.5,1.311753861,3.020424886,4.35755200461808
,,,,2.5,Succinate,yarrowia,25,1.397940009,3.218875825,4.64385618977473
,,,,73.76,Succinate,yarrowia,18,1.255272505,2.890371758,4.16992500144231
,,,,73.01,Succinate,yarrowia,24.8,1.394451681,3.210843653,4.63226821549951
,,,,74.83,Succinate,yarrowia,19.5,1.290034611,2.970414466,4.28540221886225
,,,,74.95,Succinate,yarrowia,23,1.361727836,3.135494216,4.52356195605701
,,,,74.98,Succinate,yarrowia,20.5,1.311753861,3.020424886,4.35755200461808
,,,,74.88,Succinate,yarrowia,18,1.255272505,2.890371758,4.16992500144231
,,,,74.72,Succinate,yarrowia,24.8,1.394451681,3.210843653,4.63226821549951
,,,,74.89,Succinate,yarrowia,25.1,1.399673721,3.222867846,4.64961545906341
,,,,4.94,Succinate,yarrowia,20,1.301029996,2.995732274,4.32192809488736
,,,,11.63,Succinate,yarrowia,26,1.414973348,3.258096538,4.70043971814109
,,,,5.86,Succinate,yarrowia,23,1.361727836,3.135494216,4.52356195605701
,,,,0.3711,Succinate,yarrowia,26,1.414973348,3.258096538,4.70043971814109
,,,,0.0461,Succinate,yarrowia,24.5,1.389166084,3.198673118,4.61470984411521
,,,,0.0404,Succinate,yarrowia,20.1,1.303196057,3.000719815,4.32912359629157
,,,,0.0489,Succinate,yarrowia,26,1.414973348,3.258096538,4.70043971814109
,,,,0.8677,Succinate,yarrowia,25.8,1.411619706,3.250374492,4.68929916053589
,,,,0.9846,Succinate,yarrowia,26,1.414973348,3.258096538,4.70043971814109
,,,,1.69,Succinate,yarrowia,22,1.342422681,3.091042453,4.4594316186373
,,,,0.0037,Succinate,yarrowia,26,1.414973348,3.258096538,4.70043971814109
,,,,0.0734,Succinate,yarrowia,26,1.414973348,3.258096538,4.70043971814109
,,,,0.0951,Succinate,yarrowia,21.5,1.33243846,3.068052935,4.4262647547021
,,,,0.189,Succinate,yarrowia,27,1.431363764,3.295836866,4.75488750216347
,,,,0.426,Succinate,yarrowia,24,1.380211242,3.17805383,4.58496250072116
,,,,0.682,Succinate,yarrowia,24,1.380211242,3.17805383,4.58496250072116
,,,,1.155,Succinate,yarrowia,18.5,1.267171728,2.917770732,4.20945336562895
,,,,0.4785,Succinate,yarrowia,24.8,1.394451681,3.210843653,4.63226821549951
,,,,0.3172,Succinate,yarrowia,25,1.397940009,3.218875825,4.64385618977473
,,,,4.1,Succinate,yarrowia,22,1.342422681,3.091042453,4.4594316186373
,,,,27.4,Succinate,yarrowia,20,1.301029996,2.995732274,4.32192809488736
,,,,28.8,Succinate,yarrowia,23,1.361727836,3.135494216,4.52356195605701
,,,,22.9,Succinate,yarrowia,21,1.322219295,3.044522438,4.39231742277876
,,,,24.1,Succinate,yarrowia,21.5,1.33243846,3.068052935,4.4262647547021
,,,,42.3,Succinate,yarrowia,45.5,1.658011397,3.817712326,5.5077946401987
,,,,44.3,Succinate,yarrowia,17.4,1.240549248,2.856470206,4.12101540096137
,,,,46.7,Succinate,yarrowia,21.4,1.330413773,3.063390922,4.41953889151378
,,,,50.2,Succinate,yarrowia,178,2.250420002,5.18178355,7.4757334309664
,,,,110.9,Succinate,yarrowia,23.5,1.371067862,3.157000421,4.55458885167764
,,,,5,Lupeol,yarrowia,0.00189,-2.723538196,-6.27117845,-9.04739805021574
,,,,20,Lycopene,yarrowia,0.00048,-3.318758763,-7.641724454,-11.0246779737157
,,,,20,Lycopene,yarrowia,0.00326,-2.4867824,-5.726028084,-8.26091232020574
,,,,20,Lycopene,yarrowia,0.00537,-2.270025714,-5.22692737,-7.5408621964514
,,,,0.0207,Lycopene,yarrowia,0.032,-1.494850022,-3.442019376,-4.96578428466209
,,,,0,Lycopene,yarrowia,0.1365,-0.864867349,-1.991430664,-2.87302714374223
,,,,0.0436,Lycopene,yarrowia,0.2608,-0.583692413,-1.344001449,-1.93898422531837
,,,,0.0436,Lycopene,yarrowia,0.0062,-2.207608311,-5.083205987,-7.33351606916257
,,,,0.3843,Lycopene,yarrowia,0.126,-0.899629455,-2.071473372,-2.98850436116217
,,,,0.2132,Lycopene,yarrowia,0.242,-0.616184634,-1.418817553,-2.04692104738749
,,,,0.5773,Lycopene,yarrowia,0.00176,-2.754487332,-6.34244147,-9.15020885579952
,,,,0.722,Lycopene,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.7679,Lycopene,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,1.1514,Lycopene,yarrowia,0.00182,-2.739928612,-6.308918778,-9.10184583423812
,,,,1.1,Lycopene,yarrowia,0.0006,-3.22184875,-7.418580903,-10.7027498788283
,,,,1.7,Lycopene,yarrowia,0.00037,-3.431798276,-7.902007552,-11.4001871088079
,,,,73.6,Lycopene,yarrowia,0.00117,-2.931814138,-6.75075153,-9.73927575485341
,,,,65.2,Lycopene,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,1,Lycopene,yarrowia,0.00004,-4.397940009,-10.1266311,-14.6096404744368
,,,,33.3,Lycopene,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,40.1,Lycopene,yarrowia,0.00382,-2.417936637,-5.567504856,-8.03221164640106
,,,,40.6,Lycopene,yarrowia,0.0004,-3.397940009,-7.824046011,-11.2877123795495
,,,,40.2,Lycopene,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,75.07,Lycopene,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,82.95,Lycopene,yarrowia,0.00282,-2.549750892,-5.871018394,-8.47008912203802
,,,,55.4,Lycopene,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,37.69,Lycopene,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,4.07,Lycopene,yarrowia,0.00576,-2.239577517,-5.156817804,-7.4397154729945
,,,,142.02,Lycopene,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,119.97,Lycopene,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,119.83,Lycopene,yarrowia,0.00918,-2.037157319,-4.690728074,-6.767290131023
,,,,85.13,Lycopene,yarrowia,0.00217,-2.663540266,-6.133028111,-8.84808924199233
,,,,111.65,Lycopene,yarrowia,0.00327,-2.485452247,-5.722965294,-8.25649364893873
,,,,0.76,Lycopene,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,2.75,Lycopene,yarrowia,0.00999,-2.000434512,-4.606170686,-6.64529960664439
,,,,2.81,Lycopene,yarrowia,0.03451,-1.462055041,-3.366506142,-4.8568417160013
,,,,2.89,Lycopene,yarrowia,0.02787,-1.554863031,-3.580204437,-5.165143187333
,,,,2.98,Lycopene,yarrowia,0.00985,-2.00656377,-4.620283824,-6.66566056009307
,,,,3.62,Lycopene,yarrowia,0.00669,-2.174573882,-5.007141405,-7.22377807379535
,,,,40.2,Lycopene,yarrowia,0.01847,-1.733533105,-3.991607485,-5.75867232345437
,,,,31.8,Lycopene,yarrowia,0.04123,-1.384786665,-3.188589132,-4.60016172854875
,,,,0.9,Lycopene,yarrowia,0.04054,-1.392116256,-3.205466138,-4.62451010096991
,,,,1.25,Lycopene,yarrowia,0.01995,-1.7000571,-3.914526136,-5.6474674433271
,,,,0.8,Lycopene,yarrowia,0.01241,-1.906228219,-4.38925268,-6.33235307430646
,,,,1.32,Lycopene,yarrowia,0.002,-2.698970004,-6.214608098,-8.96578428466209
,,,,0.31,Lycopene,yarrowia,0.0098,-2.008773924,-4.625372893,-6.67300253543424
,,,,0.22,Lycopene,yarrowia,0.02358,-1.627456199,-3.747356384,-5.40629247145705
,,,,2.35,Lycopene,yarrowia,0.01644,-1.784098187,-4.108037889,-5.92664589075513
,,,,0.5451,Lycopene,yarrowia,0.00177,-2.752026734,-6.336775732,-9.14203492435382
,,,,0.2403,Lycopene,yarrowia,0.00409,-2.388276692,-5.499210309,-7.93368344149506
,,,,16.14,Lycopene,yarrowia,0.01236,-1.907981529,-4.393289827,-6.33817744653244
,,,,0.0129,Lycopene,yarrowia,0.01114,-1.953114809,-4.497213044,-6.48810695709678
,,,,0.0147,Lycopene,yarrowia,0.01632,-1.787279846,-4.115363929,-5.93721513246532
,,,,0.011,Lycopene,yarrowia,0.02484,-1.604848408,-3.695300022,-5.33119101621633
,,,,0.0111,Lycopene,yarrowia,0.00999,-2.000434512,-4.606170686,-6.64529960664439
,,,,0.011,Lycopene,yarrowia,0.02479,-1.605723473,-3.697314933,-5.33409791835009
,,,,0.0147,Lycopene,yarrowia,0.0227,-1.643974143,-3.785390354,-5.46116389225853
,,,,0.0111,Lycopene,yarrowia,0.00307,-2.512861625,-5.786077717,-8.34754562906663
,,,,0.0132,Lycopene,yarrowia,0.0085,-2.070581074,-4.767689115,-6.87832144341175
,,,,0.0132,Lycopene,yarrowia,0.124,-0.906578315,-2.087473713,-3.01158797427521
,,,,0.0126,Lycopene,yarrowia,0.075,-1.124938737,-2.590267165,-3.73696559416621
,,,,2.3,Lycopene,yarrowia,0.058,-1.236572006,-2.847312268,-4.10780328953452
,,,,3.82,Lycopene,yarrowia,0.075,-1.124938737,-2.590267165,-3.73696559416621
,,,,93,Lycopene,yarrowia,0.001,-3,-6.907755279,-9.96578428466209
,,,,21.7,Lycopene,yarrowia,0.052,-1.283996656,-2.95651156,-4.265344566521
,,,,69.16,Lycopene,yarrowia,0.206,-0.68613278,-1.57987911,-2.27928375747887
,,,,10,Lycopene,yarrowia,0.2751,-0.56050941,-1.290620611,-1.86197195523324
,,,,13.66,Lycopene,yarrowia,0.155,-0.809668302,-1.864330162,-2.68965987938785
,,,,16.54,Lycopene,yarrowia,0.23,-0.638272164,-1.46967597,-2.12029423371771
,,,,17.84,Lycopene,yarrowia,0.27,-0.568636236,-1.30933332,-1.88896868761126
,,,,21.56,Lycopene,yarrowia,0.371,-0.43062609,-0.991553216,-1.43050890804128
,,,,6.43,Lycopene,yarrowia,0.23,-0.638272164,-1.46967597,-2.12029423371771
,,,,9.6,Lycopene,yarrowia,0.225,-0.647817482,-1.491654877,-2.15200309344505
,,,,12.33,Lycopene,yarrowia,0.22,-0.657577319,-1.514127733,-2.18442457113743
,,,,16.37,Lycopene,yarrowia,0.3744,-0.42666416,-0.982430534,-1.41734765996605
,,,,14.4,Lycopene,yarrowia,0.745,-0.127843727,-0.294371061,-0.424687669312563
,,,,17.93,FFA,yarrowia,0.0302,-1.519993057,-3.499913355,-5.04930764022437
,,,,20.15,FFA,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,24.86,FFA,yarrowia,0.1368,-0.863913903,-1.989235274,-2.86985986466355
,,,,0.2379,FFA,yarrowia,0.3828,-0.417028071,-0.960242619,-1.38533726506342
,,,,0.0027,FFA,yarrowia,1.4367,0.157366092,0.362348817,0.522758841407708
,,,,0.3297,FFA,yarrowia,0.2,-0.698970004,-1.609437912,-2.32192809488736
,,,,0.1959,FFA,yarrowia,0.2,-0.698970004,-1.609437912,-2.32192809488736
,,,,0.529,FFA,yarrowia,1.45,0.161368002,0.371563556,0.53605290024021
,,,,0.0726,FFA,yarrowia,3.4,0.531478917,1.223775432,1.76553474636298
,,,,0.0357,FFA,yarrowia,3.2,0.505149978,1.16315081,1.67807190511264
,,,,0.5232,FFA,yarrowia,3.1,0.491361694,1.131402111,1.63226821549951
,,,,0.0673,FFA,yarrowia,3.5,0.544068044,1.252762968,1.8073549220576
,,,,0.0527,FFA,yarrowia,2.5,0.397940009,0.916290732,1.32192809488736
,,,,0.3603,FFA,yarrowia,3.5,0.544068044,1.252762968,1.8073549220576
,,,,0.1223,FFA,yarrowia,3.25,0.511883361,1.178654996,1.70043971814109
,,,,0.0747,FFA,yarrowia,4.25,0.62838893,1.446918983,2.08746284125034
,,,,0.3754,FFA,yarrowia,4.3,0.633468456,1.458615023,2.10433665981474
,,,,0.0877,FFA,yarrowia,4.1,0.612783857,1.410986974,2.03562390973072
,,,,0,FFA,yarrowia,4,0.602059991,1.386294361,2
,,,,0.5634,FFA,yarrowia,4.2,0.62324929,1.435084525,2.0703893278914
,,,,0.088,FFA,yarrowia,5.8,0.763427994,1.757857918,2.53605290024021
,,,,0.0141,FFA,yarrowia,4.6,0.662757832,1.526056303,2.20163386116965
,,,,0.5576,1-butanol,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.0567,1-butanol,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.0456,1-butanol,yarrowia,0.1002,-0.999132278,-2.30058709,-3.31904558635424
,,,,0.4786,1-butanol,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.0564,1-butanol,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.1457,1-butanol,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.3067,1-butanol,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.1845,1-butanol,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.0605,1-butanol,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.5149,1-butanol,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.0558,1-butanol,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.1509,1-butanol,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,0.2697,1-butanol,yarrowia,0.095,-1.022276395,-2.353878387,-3.39592867633114
,,,,0.1909,1-butanol,yarrowia,0.115,-0.93930216,-2.162823151,-3.12029423371771
,,,,0.0384,1-butanol,yarrowia,0.119,-0.924453039,-2.128631786,-3.07096652135414
,,,,0.5006,1-butanol,yarrowia,0.1025,-0.989276135,-2.27789248,-3.28630418515664
,,,,0.0773,1-butanol,yarrowia,0.105,-0.978810701,-2.253794929,-3.25153876699597
,,,,0.0387,1-butanol,yarrowia,0.123,-0.910094889,-2.095570924,-3.02326977932285
,,,,0.5152,1-butanol,yarrowia,0.12,-0.920818754,-2.120263536,-3.05889368905357
,,,,0.0655,1-butanol,yarrowia,0.117,-0.931814138,-2.145581344,-3.09541956507868
,,,,0.0456,1-butanol,yarrowia,0.107,-0.970616222,-2.234926445,-3.22431729826094
,,,,0.4753,1-butanol,yarrowia,0.073,-1.13667714,-2.617295838,-3.77595972578207
,,,,0.0903,1-butanol,yarrowia,0.092,-1.036212173,-2.385966702,-3.44222232860507
,,,,0.0556,1-butanol,yarrowia,0.1,-1,-2.302585093,-3.32192809488736
,,,,0.3693,1-butanol,yarrowia,0.096,-1.017728767,-2.343407088,-3.38082178394093
,,,,0.109,1-butanol,yarrowia,0.092,-1.036212173,-2.385966702,-3.44222232860507
,,,,0.08,1-butanol,yarrowia,0.115,-0.93930216,-2.162823151,-3.12029423371771
,,,,0.3033,1-butanol,yarrowia,0.114,-0.943095149,-2.171556831,-3.13289427049735
,,,,0.1743,1-butanol,yarrowia,0.000065,-4.187086643,-9.641123288,-13.9092007562957
,,,,0.1793,1-butanol,yarrowia,0.000092,-4.036212173,-9.293721981,-13.4080066132672
,,,,0.2553,1-butanol,yarrowia,0.000121,-3.91721463,-9.019720012,-13.0127053320496
,,,,0.1953,1-butanol,yarrowia,0.00011,-3.958607315,-9.115030192,-13.1502088557995
,,,,2.25,Erythritol,yarrowia,0.5,-0.301029996,-0.693147181,-1
,,,,11.02,Erythritol,yarrowia,3.6,0.556302501,1.280933845,1.84799690655495
,,,,7.1,Erythritol,yarrowia,4.9,0.69019608,1.589235205,2.29278174922785
,,,,2.25,Erythritol,yarrowia,2.7,0.431363764,0.993251773,1.43295940727611
,,,,9.05,Erythritol,yarrowia,1.8,0.255272505,0.587786665,0.84799690655495
,,,,8.1,Erythritol,yarrowia,1.8,0.255272505,0.587786665,0.84799690655495
,,,,22.5,Erythritol,yarrowia,1.8,0.255272505,0.587786665,0.84799690655495
,,,,20.8,Erythritol,yarrowia,5.8,0.763427994,1.757857918,2.53605290024021
,,,,15.2,Erythritol,yarrowia,4.5,0.653212514,1.504077397,2.16992500144231
,,,,0.742,Erythritol,yarrowia,18.6,1.269512944,2.923161581,4.21723071622067
,,,,0.872,Erythritol,yarrowia,10.7,1.029383778,2.370243741,3.41953889151378
,,,,0.9277,Erythritol,yarrowia,21.1,1.324282455,3.04927304,4.39917109381982
,,,,0.1193,Erythritol,yarrowia,11.1,1.045322979,2.406945108,3.47248777146274
,,,,1.17,Erythritol,yarrowia,23.9,1.378397901,3.173878459,4.57893871309339
,,,,0,Erythritol,yarrowia,15.2,1.181843588,2.721295428,3.92599941855622
,,,,5,Erythritol,yarrowia,27.7,1.442479769,3.321432413,4.79181407116183
,,,,43,Erythritol,yarrowia,6.4,0.806179974,1.85629799,2.67807190511264
,,,,162,Erythritol,yarrowia,16.7,1.222716471,2.815408719,4.06177619758669
,,,,190,Erythritol,yarrowia,NULL,#VALUE!,#VALUE!,#NUM!
,,,,5,Erythritol,yarrowia,24.41,1.387567779,3.194992884,4.60940039000643
,,,,0,Erythritol,yarrowia,7.89,0.897077003,2.065596135,2.98002530023873
,,,,0.3,Erythritol,yarrowia,23.12,1.36398783,3.140698044,4.53106949272595
,,,,41,Erythritol,yarrowia,7.87,0.895974732,2.063058062,2.97636363573276
,,,,11.9,Erythritol,yarrowia,11.94,1.077004327,2.479894108,3.57773093149008
,,,,1.044,Erythritol,yarrowia,9.03,0.95568775,2.200552367,3.17472598770613
,,,,0.549,Erythritol,yarrowia,13.84,1.14113609,2.62756295,3.790772037862
,,,,0.301,Erythritol,yarrowia,14.07,1.148294097,2.644044871,3.81455042346181
,,,,0.297,Erythritol,yarrowia,24.28,1.385248682,3.189652966,4.60169651648096
,,,,0.227,Erythritol,yarrowia,23.12,1.36398783,3.140698044,4.53106949272595
,,,,0.155,Erythritol,yarrowia,28.31,1.451939869,3.343215099,4.82323984413102
,,,,0.278,Erythritol,yarrowia,37.1,1.56937391,3.61361697,5.21334728173344
,,,,0.192,Erythritol,yarrowia,44.4,1.64738297,3.793239469,5.47248777146274
,,,,0.296,Erythritol,yarrowia,51,1.707570176,3.931825633,5.6724253419715
,,,,0.207,Erythritol,yarrowia,54.1,1.733197265,3.990834186,5.75755668893945
,,,,0.344,Erythritol,yarrowia,68.2,1.833784375,4.222444565,6.09169983413681
,,,,0.208,Erythritol,yarrowia,78.1,1.892651034,4.357990057,6.28725064325462
,,,,0.299,Erythritol,yarrowia,11.8,1.071882007,2.468099531,3.56071495447448
,,,,0.259,Erythritol,yarrowia,9.7,0.986771734,2.272125886,3.27798474729977
,,,,0.327,Erythritol,yarrowia,4.6,0.662757832,1.526056303,2.20163386116965
,,,,0.248,Erythritol,yarrowia,16.1,1.206825876,2.778819272,4.00898878322726
,,,,0.347,Erythritol,yarrowia,45,1.653212514,3.80666249,5.49185309632968
,,,,0.347,Erythritol,yarrowia,17.4,1.240549248,2.856470206,4.12101540096137
